Time,DateTimeValue,Temp,TempSP,Comp1,Comp2,RevValve,Fan,Occupancy,Scheduled
11/06/2016 9:11:00 AM,42532.38264,21.9,23,Off,Off,Off,Off,0,FALSE
11/06/2016 8:56:00 AM,42532.37222,21.9,23,Off,Off,Off,Off,0,FALSE
11/06/2016 8:41:00 AM,42532.36181,21.9,23,Off,Off,Off,Off,0,FALSE
11/06/2016 8:26:00 AM,42532.35139,21.9,23,Off,Off,Off,Off,0,FALSE
11/06/2016 8:11:00 AM,42532.34097,21.9,23,Off,Off,Off,Off,0,FALSE
11/06/2016 7:56:00 AM,42532.33056,21.9,23,Off,Off,Off,Off,0,FALSE
11/06/2016 7:41:00 AM,42532.32014,21.9,23,Off,Off,Off,Off,0,FALSE
11/06/2016 7:26:00 AM,42532.30972,22,23,Off,Off,Off,Off,0,FALSE
11/06/2016 7:11:00 AM,42532.29931,22,23,Off,Off,Off,Off,0,FALSE
11/06/2016 6:56:00 AM,42532.28889,22.1,23,Off,Off,Off,Off,0,FALSE
11/06/2016 6:41:00 AM,42532.27847,22.1,23,Off,Off,Off,Off,0,FALSE
